"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Курьера можно создать","tests","Thu May 08 09:00:23 MSK 2025","passed","Thu May 08 09:00:23 MSK 2025","TestCreateCourier","test_create_courier","",""
"","60160","Для авторизации нужны все обязательные поля (нет пароля)","tests","Thu May 08 09:00:28 MSK 2025","failed","Thu May 08 09:01:28 MSK 2025","TestLoginCourier","test_login_courier","",""
"","136","Система вернёт ошибку, если логин неверный","tests","Thu May 08 09:01:28 MSK 2025","passed","Thu May 08 09:01:28 MSK 2025","TestLoginCourier","test_login_courier","",""
"","185","Проверка создания заказа с разными вариантами цвета","tests","Thu May 08 09:00:25 MSK 2025","passed","Thu May 08 09:00:25 MSK 2025","TestCreateOrder","test_create_order","",""
"","153","Курьер может авторизоваться, успешный запрос возвращает id","tests","Thu May 08 09:00:26 MSK 2025","passed","Thu May 08 09:00:26 MSK 2025","TestLoginCourier","test_login_courier","",""
"","174","Проверка создания заказа с разными вариантами цвета","tests","Wed May 07 15:01:14 MSK 2025","passed","Wed May 07 15:01:14 MSK 2025","","test_create_order","",""
"","552","Проверка создания заказа с разными вариантами цвета","tests","Wed May 07 15:01:14 MSK 2025","passed","Wed May 07 15:01:14 MSK 2025","","test_create_order","",""
"","409","Ошибка при создании курьера с существующим логином","tests","Thu May 08 09:00:25 MSK 2025","passed","Thu May 08 09:00:25 MSK 2025","TestCreateCourier","test_create_courier","",""
"","206","Ошибка, если авторизоваться под несуществующим пользователем","tests","Thu May 08 09:01:30 MSK 2025","passed","Thu May 08 09:01:30 MSK 2025","TestLoginCourier","test_login_courier","",""
"","152","Система вернёт ошибку, если пароль неверный","tests","Thu May 08 09:01:29 MSK 2025","passed","Thu May 08 09:01:29 MSK 2025","TestLoginCourier","test_login_courier","",""
"","134","Создание заказа без указания цвета","tests","Thu May 08 09:00:26 MSK 2025","passed","Thu May 08 09:00:26 MSK 2025","TestCreateOrder","test_create_order","",""
"","159","Проверка создания заказа с разными вариантами цвета","tests","Thu May 08 09:00:26 MSK 2025","passed","Thu May 08 09:00:26 MSK 2025","TestCreateOrder","test_create_order","",""
"","156","Проверка создания заказа с разными вариантами цвета","tests","Thu May 08 09:00:25 MSK 2025","passed","Thu May 08 09:00:26 MSK 2025","TestCreateOrder","test_create_order","",""
"","200","Проверка создания заказа с разными вариантами цвета","tests","Wed May 07 15:01:13 MSK 2025","passed","Wed May 07 15:01:14 MSK 2025","","test_create_order","",""
"","172","Проверка создания заказа с разными вариантами цвета","tests","Wed May 07 15:01:14 MSK 2025","passed","Wed May 07 15:01:15 MSK 2025","","test_create_order","",""
"","140","Ошибка при создании курьера без пароля","tests","Thu May 08 09:00:24 MSK 2025","failed","Thu May 08 09:00:24 MSK 2025","TestCreateCourier","test_create_courier","",""
"","197","Нельзя создать двух одинаковых курьеров","tests","Thu May 08 09:00:24 MSK 2025","failed","Thu May 08 09:00:24 MSK 2025","TestCreateCourier","test_create_courier","",""
"","2121","В теле ответа возвращается список заказов","tests","Wed May 07 15:02:19 MSK 2025","passed","Wed May 07 15:02:21 MSK 2025","","test_order_list","",""
"","180","Для авторизации нужны все обязательные поля (нет логина)","tests","Thu May 08 09:00:27 MSK 2025","passed","Thu May 08 09:00:27 MSK 2025","TestLoginCourier","test_login_courier","",""
"","2016","В теле ответа возвращается список заказов","tests","Thu May 08 09:01:30 MSK 2025","passed","Thu May 08 09:01:32 MSK 2025","TestOrderList","test_order_list","",""
